1,308
3,734
9,2
27,7
81,608
243,195
729,755
2187,2088
6561,7430
19683,29469
59049,241267
177147,942398
531441,1428123
1.59432e+06,7246250
4.78297e+06,14154220
1.43489e+07,50370854
